ID,LEARNING CENTER,BRANCH SCHOOL,TUTOR,HEAD TEACHER,ONLINE,OFFLINE
1478,Anu Vocational Junior College,POORNASAI COACHING,2,4,1,5
1479,Accord School,VIVEK COACHING CENTRE,3,3,4,2
1480,Academic Heights Public School - AHPS,ELITE POLYTECHNIC & APRJC COACHING CENTRE,4,2,3,1
1481,Anjali Junior College,ELITE POLYTECHNIC & APRJC COACHING CENTRE,2,3,1,3
1482,SDHR Junior & Degree & Pg College ,C L CAREER LAUNCHER,2,4,2,5
1483,Nri Academy,SRI VISWAM COACHING CENTRE,2,3,1,1
1484,Accord School,KSRM COACHING CENTER,2,4,4,5
1485,Akshra English Medium School,SHINE IAS STUDY CIRCLE,3,3,3,2
1486,Narayana Junior College,BANKER'S ADDA,1,2,2,1
1487,Academic Heights Public School - AHPS,KARTHIK INSTITUTE OF POLICE COACHING,1,3,1,6
1488,Sri Chaitanya Junior College ,Sheker'S IAS Study Circle,2,4,5,6
1489,S V Defence Academy,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),2,2,5,3
1490,Nri Academy,DR. LAKSHMAIAH IAS STUDY CIRCLE,3,4,3,2
1491,Alpha Gamma Sigma Junior College,VIGNESH COACHING CENTRE,3,2,3,2
1492,S V Defence Academy,MY CAREER POINT,1,1,4,6
1493,Sri Padmavathi Women's Junior College ,SRI KRISHNAVENI COACHING CENTRE,1,1,5,1
1494,Alpha Gamma Sigma Junior College,ANALYST IAS ACADEMY,1,2,4,3
1495,Ashwamedha Junior College & Neet Medical Academy ,C L CAREER LAUNCHER,3,4,1,4
1496,Anjali Junior College,TALENTSPRINT PVT. LTD,4,4,4,5
1497,Accord School,ROLLER SPORTS COACHING CENTRE,4,3,5,3
1498,Academic Heights Public School - AHPS,ACADEMY OF MATHEMATICS AND STATISTICS,2,1,2,3
1499,Sri Padmavathi Women's Junior College ,ANALYST IAS ACADEMY,4,4,3,4
1500,Sri Padmavathi Women's Junior College ,RADHAKRISHNA EDUCATIONAL INSTITUTES,1,1,5,5
1501,Anjali Junior College,IGNITE ACADEMY,1,2,1,1
1502,Accord School,ACADEMY OF MATHEMATICS AND STATISTICS,2,2,1,2
1503,Alpha Gamma Sigma Junior College,KARTHIK INSTITUTE OF POLICE COACHING,2,3,2,4
1504,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,1,4,2
1505,S V Defence Academy,BHARATH DEFENCE COACHING CENTRE,2,3,4,4
1506,Anu Vocational Junior College,EMINENT COACHING CENTRE,3,2,3,5
1507,Narayana Junior College,NIIT,2,1,4,2
1508,S V Defence Academy,SRI VISWAM COACHING CENTRE,1,3,1,4
1509,Sri Padmavathi Women's Junior College ,RADHAKRISHNA EDUCATIONAL INSTITUTES,2,4,5,2
1510,Arunodaya High School,AAKASH INSTITUTE OF MEDICAL IIT - JEE,4,3,5,3
1511,Accord School,VIGNESH COACHING CENTRE,1,1,3,3
1512,Sri Chaitanya Junior College ,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,1,3,4
1513,SDHR Junior & Degree & Pg College ,GURU SAI COACHING CENTER,2,2,4,6
1514,SDHR Junior & Degree & Pg College ,BANKERS ADD,4,2,4,1
1515,Narayana Junior College,ACADEMY OF MATHEMATICS AND STATISTICS,3,4,5,2
1516,Arunodaya High School,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,3,2,1,4
1517,Accord School,KARTHIK INSTITUTE OF POLICE COACHING,4,1,3,6
1518,Anu Vocational Junior College,ELITE POLYTECHNIC & APRJC COACHING CENTRE,3,2,4,6
1519,Ashwamedha Junior College & Neet Medical Academy ,SRI VISWAM COACHING CENTRE,3,1,2,2
1520,Akshra English Medium School,POORNASAI COACHING,1,1,3,6
1521,Alpha Gamma Sigma Junior College,VIVEK COACHING CENTRE,1,1,5,5
1522,Narayana Junior College,DAMS SKY,2,3,4,3
1523,Sri Padmavathi Women's Junior College ,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,3,2,1
1524,Sri Chaitanya Junior College ,POORNASAI COACHING,2,1,1,1
1525,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,NIIT,2,2,5,6
1526,SDHR Junior & Degree & Pg College ,BANKERS ADD,4,1,5,5
1527,Alpha Gamma Sigma Junior College,VIGNESH COACHING CENTRE,2,1,3,1
1528,Akshara High School,NIIT,2,1,1,6
1529,Anu Vocational Junior College,POORNASAI COACHING,4,1,3,5
1530,Akshara High School,PANDITHA SUDHA COACHING CENTRE,3,4,5,6
1531,SDHR Junior & Degree & Pg College ,BANKERS ADD,1,3,2,6
1532,Anjali Junior College,EMINENT COACHING CENTRE,4,2,1,5
1533,Anjali Junior College,ELITE POLYTECHNIC & APRJC COACHING CENTRE,4,4,3,5
1534,Alpha Gamma Sigma Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,3,4,2,2
1535,Nri Academy,Sheker'S IAS Study Circle,4,3,1,4
1536,Anjali Junior College,ROLLER SPORTS COACHING CENTRE,4,1,4,6
1537,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,RADHAKRISHNA EDUCATIONAL INSTITUTES,3,2,4,6
1538,Akshara High School,SRI VISWAM COACHING CENTRE,4,4,5,3
1539,Anjali Junior College,BANKERS ADD,4,3,2,6
1540,Ashwamedha Junior College & Neet Medical Academy ,MAHENDRA EDUCATIONAL PVT LTD,2,4,2,6
1541,Akshra English Medium School,GURU SAI COACHING CENTER,4,3,1,3
1542,Arunodaya High School,KARTHIK INSTITUTE OF POLICE COACHING,3,2,3,1
1543,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,POORNASAI COACHING,1,4,2,2
1544,SDHR Junior & Degree & Pg College ,ANALYST IAS ACADEMY,2,2,4,5
1545,Sri Padmavathi Women's Junior College ,ACE ENGINEERING ACADEMY,3,1,3,4
1546,Anjali Junior College,DAMS SKY,4,2,4,2
1547,S V Defence Academy,SKILL WORLD COMPUTERS,2,1,5,6
1548,Nri Academy,BANKERS ADD,3,4,5,5
1549,Academic Heights Public School - AHPS,C L CAREER LAUNCHER,2,2,1,2
1550,Akshra English Medium School,EMINENT COACHING CENTRE,3,1,2,2
1551,Ashwamedha Junior College & Neet Medical Academy ,Sheker'S IAS Study Circle,1,4,3,6
1552,Arunodaya High School,MAHENDRA EDUCATIONAL PVT LTD,2,3,1,2
1553,Arunodaya High School,NIIT,1,1,4,2
1554,Alpha Gamma Sigma Junior College,ROLLER SPORTS COACHING CENTRE,1,2,1,1
1555,Academic Heights Public School - AHPS,SAIMEDHA EDUCATIONAL INSTITUTE,4,3,1,3
1556,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,RADHAKRISHNA EDUCATIONAL INSTITUTES,2,3,5,6
1557,Nri Academy,SRI KRISHNAVENI COACHING CENTRE,3,3,1,5
1558,Ashwamedha Junior College & Neet Medical Academy ,SHINE IAS STUDY CIRCLE,4,4,4,2
1559,Sri Padmavathi Women's Junior College ,SAIMEDHA GATE COACHING CENTER,4,3,2,4
1560,Sri Chaitanya Junior College ,JB INSTITUTE FOR COMPETITVE EXAMS,3,3,4,6
1561,Anu Vocational Junior College,SRI VISWAM COACHING CENTRE,4,3,4,1
1562,Accord School,C L CAREER LAUNCHER,4,1,4,5
1563,Ashwamedha Junior College & Neet Medical Academy ,ACE ENGINEERING ACADEMY,2,1,5,6
1564,Anjali Junior College,SKILL WORLD COMPUTERS,3,3,4,3
1565,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,1,2,5,2
1566,Sri Chaitanya Junior College ,SREEDHAR'S CCE,1,1,1,6
1567,Akshra English Medium School,C L CAREER LAUNCHER,3,1,4,1
1568,Alpha Gamma Sigma Junior College,C L CAREER LAUNCHER,3,4,5,1
1569,Academic Heights Public School - AHPS,ROLLER SPORTS COACHING CENTRE,3,1,2,1
1570,SDHR Junior & Degree & Pg College ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,3,3,4,5
1571,Ashwamedha Junior College & Neet Medical Academy ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,2,3,4,1
1572,Sri Chaitanya Junior College ,DR. LAKSHMAIAH IAS STUDY CIRCLE,3,2,2,5
1573,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,BANKER'S ADDA,2,1,2,4
1574,Akshra English Medium School,ELITE POLYTECHNIC & APRJC COACHING CENTRE,1,3,5,2
1575,Akshra English Medium School,IGNITE ACADEMY,4,3,2,6
1576,Accord School,ELITE POLYTECHNIC & APRJC COACHING CENTRE,4,4,5,5
1577,Sri Chaitanya Junior College ,ANALYST IAS ACADEMY,4,3,4,1
1578,S V Defence Academy,KARTHIK INSTITUTE OF POLICE COACHING,4,3,5,1
1579,Anu Vocational Junior College,SRI KRISHNAVENI COACHING CENTRE,1,3,3,6
1580,Accord School,ACADEMY OF MATHEMATICS AND STATISTICS,1,4,5,4
1581,Anu Vocational Junior College,SKILL WORLD COMPUTERS,2,3,1,3
1582,Ashwamedha Junior College & Neet Medical Academy ,ACE ENGINEERING ACADEMY,3,1,3,6
1583,Akshra English Medium School,RADHAKRISHNA EDUCATIONAL INSTITUTES,2,2,2,4
1584,Accord School,POORNASAI COACHING,3,2,3,3
1585,SDHR Junior & Degree & Pg College ,ANALYST IAS ACADEMY,3,3,4,3
1586,Anu Vocational Junior College,SAIMEDHA GATE COACHING CENTER,4,1,4,6
1587,Sri Chaitanya Junior College ,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,4,4,1
1588,Academic Heights Public School - AHPS,VIVEK COACHING CENTRE,3,3,5,3
1589,Accord School,SAIMEDHA GATE COACHING CENTER,2,1,1,6
1590,Nri Academy,GURU SAI COACHING CENTER,1,4,3,5
1591,Ashwamedha Junior College & Neet Medical Academy ,SRI KRISHNAVENI COACHING CENTRE,2,3,4,5
1592,Accord School,SRI VISWAM COACHING CENTRE,4,4,2,2
1593,Arunodaya High School,MAHENDRA EDUCATIONAL PVT LTD,2,3,4,6
1594,Ashwamedha Junior College & Neet Medical Academy ,KSRM COACHING CENTER,4,1,1,4
1595,Anjali Junior College,SRI VISWAM COACHING CENTRE,1,3,4,5
1596,Arunodaya High School,DR. LAKSHMAIAH IAS STUDY CIRCLE,3,2,1,1
1597,Sri Padmavathi Women's Junior College ,ELITE POLYTECHNIC & APRJC COACHING CENTRE,2,2,1,1
1598,Ashwamedha Junior College & Neet Medical Academy ,POORNASAI COACHING,1,4,1,5
1599,Alpha Gamma Sigma Junior College,RADHAKRISHNA EDUCATIONAL INSTITUTES,2,3,3,1
1600,Accord School,KSRM COACHING CENTER,3,4,4,3
1601,Akshara High School,BANKER'S ADDA,1,4,2,2
1602,Ashwamedha Junior College & Neet Medical Academy ,GURU SAI COACHING CENTER,4,2,3,3
1603,Narayana Junior College,SRI VISWAM COACHING CENTRE,2,4,5,4
1604,Arunodaya High School,BANKERS ADD,3,2,1,6
1605,Anjali Junior College,BANKERS ADD,2,3,3,6
1606,Anjali Junior College,IGNITE ACADEMY,3,3,4,6
1607,Sri Padmavathi Women's Junior College ,CAREER LAUNCHER,3,1,5,4
1608,Akshra English Medium School,DR. LAKSHMAIAH IAS STUDY CIRCLE,4,4,5,4
1609,Akshara High School,ROLLER SPORTS COACHING CENTRE,3,2,1,6
1610,Anjali Junior College,EMINENT COACHING CENTRE,1,2,5,1
1611,Arunodaya High School,ACE ENGINEERING ACADEMY,2,2,5,1
1612,Arunodaya High School,ACADEMY OF MATHEMATICS AND STATISTICS,1,1,5,5
1613,Akshara High School,BHARATH DEFENCE COACHING CENTRE,3,4,2,5
1614,Sri Padmavathi Women's Junior College ,SREEDHAR'S CCE,4,2,1,2
1615,SDHR Junior & Degree & Pg College ,ROLLER SPORTS COACHING CENTRE,3,2,4,3
1616,Anu Vocational Junior College,POORNASAI COACHING,4,2,4,4
1617,Arunodaya High School,KARTHIK INSTITUTE OF POLICE COACHING,2,4,1,2
1618,Accord School,MY CAREER POINT,4,3,2,2
1619,Sri Chaitanya Junior College ,SRI VISWAM COACHING CENTRE,1,1,3,5
1620,S V Defence Academy,Sheker'S IAS Study Circle,2,4,3,3
1621,Ashwamedha Junior College & Neet Medical Academy ,BANKERS ADD,4,4,2,6
1622,Ashwamedha Junior College & Neet Medical Academy ,RADHAKRISHNA EDUCATIONAL INSTITUTES,2,1,2,4
1623,SDHR Junior & Degree & Pg College ,JB INSTITUTE FOR COMPETITVE EXAMS,1,2,4,4
1624,Accord School,DR. LAKSHMAIAH IAS STUDY CIRCLE,2,1,1,5
1625,Akshara High School,C L CAREER LAUNCHER,4,3,3,1
1626,Sri Chaitanya Junior College ,VIVEK COACHING CENTRE,1,3,1,3
1627,Anu Vocational Junior College,BANKER'S ADDA,2,1,5,1
1628,Arunodaya High School,CAREER LAUNCHER,3,4,1,5
1629,Akshara High School,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,3,3,1
1630,Narayana Junior College,ROLLER SPORTS COACHING CENTRE,4,2,4,5
1631,Sri Padmavathi Women's Junior College ,BANKERS ADD,2,1,5,3
1632,Sri Chaitanya Junior College ,BANKER'S ADDA,2,2,1,1
1633,Academic Heights Public School - AHPS,SRI KRISHNAVENI COACHING CENTRE,3,2,5,3
1634,Akshara High School,SAIMEDHA EDUCATIONAL INSTITUTE,4,3,5,4
1635,Ashwamedha Junior College & Neet Medical Academy ,ROLLER SPORTS COACHING CENTRE,2,3,5,6
1636,S V Defence Academy,GURU SAI COACHING CENTER,2,1,3,6
1637,Nri Academy,SAIMEDHA EDUCATIONAL INSTITUTE,2,3,5,4
1638,Sri Chaitanya Junior College ,C L CAREER LAUNCHER,2,1,1,6
1639,Accord School,TALENTSPRINT PVT. LTD,4,4,4,1
1640,Narayana Junior College,SAIMEDHA EDUCATIONAL INSTITUTE,2,1,2,5
1641,Narayana Junior College,BANKER'S ADDA,2,4,4,1
1642,Sri Padmavathi Women's Junior College ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,2,2,4,2
1643,Sri Chaitanya Junior College ,DAMS SKY,3,1,2,5
1644,Sri Chaitanya Junior College ,POORNASAI COACHING,3,2,2,4
1645,Academic Heights Public School - AHPS,SAIMEDHA GATE COACHING CENTER,4,1,4,1
1646,Ashwamedha Junior College & Neet Medical Academy ,SREEDHAR'S CCE,2,3,5,5
1647,Academic Heights Public School - AHPS,BHARATH DEFENCE COACHING CENTRE,1,3,5,2
1648,Akshara High School,SHINE IAS STUDY CIRCLE,3,4,1,2
1649,Akshra English Medium School,CAREER LAUNCHER,1,1,2,3
1650,Akshra English Medium School,JB INSTITUTE FOR COMPETITVE EXAMS,3,4,5,2
1651,Arunodaya High School,KARTHIK INSTITUTE OF POLICE COACHING,2,3,4,5
1652,S V Defence Academy,VIGNESH COACHING CENTRE,3,4,5,4
1653,Ashwamedha Junior College & Neet Medical Academy ,BANKER'S ADDA,3,3,3,1
1654,Narayana Junior College,IGNITE ACADEMY,2,1,5,5
1655,SDHR Junior & Degree & Pg College ,EMINENT COACHING CENTRE,1,1,3,6
1656,Academic Heights Public School - AHPS,ROLLER SPORTS COACHING CENTRE,1,1,2,1
1657,Nri Academy,BHARATH DEFENCE COACHING CENTRE,4,3,2,2
1658,Akshara High School,DR. LAKSHMAIAH IAS STUDY CIRCLE,1,3,4,2
1659,Akshra English Medium School,JB INSTITUTE FOR COMPETITVE EXAMS,2,2,2,1
1660,Anjali Junior College,JB INSTITUTE FOR COMPETITVE EXAMS,4,3,5,2
1661,Ashwamedha Junior College & Neet Medical Academy ,Sheker'S IAS Study Circle,4,2,1,5
1662,Alpha Gamma Sigma Junior College,DR. LAKSHMAIAH IAS STUDY CIRCLE,2,2,3,1
1663,Anjali Junior College,ACE ENGINEERING ACADEMY,4,4,1,1
1664,Accord School,ANALYST IAS ACADEMY,4,2,4,6
1665,Sri Chaitanya Junior College ,BHARATH DEFENCE COACHING CENTRE,4,2,2,3
1666,Sri Padmavathi Women's Junior College ,EMINENT COACHING CENTRE,2,2,5,4
1667,Ashwamedha Junior College & Neet Medical Academy ,SRI KRISHNAVENI COACHING CENTRE,2,3,3,1
1668,SDHR Junior & Degree & Pg College ,VIVEK COACHING CENTRE,1,4,1,1
1669,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,POORNASAI COACHING,2,4,2,1
1670,Accord School,IGNITE ACADEMY,4,4,2,1
1671,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,ROLLER SPORTS COACHING CENTRE,1,2,3,3
1672,Akshara High School,SAIMEDHA EDUCATIONAL INSTITUTE,4,2,3,1
1673,Accord School,DAMS SKY,2,2,2,1
1674,Academic Heights Public School - AHPS,ACADEMY OF MATHEMATICS AND STATISTICS,3,1,3,2
1675,Anjali Junior College,SAIMEDHA GATE COACHING CENTER,4,3,2,4
1676,Narayana Junior College,PANDITHA SUDHA COACHING CENTRE,1,4,1,4
1677,SDHR Junior & Degree & Pg College ,JB INSTITUTE FOR COMPETITVE EXAMS,1,4,3,5
1678,S V Defence Academy,GURU SAI COACHING CENTER,2,4,3,3
1679,SDHR Junior & Degree & Pg College ,TALENTSPRINT PVT. LTD,1,4,1,2
1680,SDHR Junior & Degree & Pg College ,NIIT,4,3,3,4
1681,Sri Chaitanya Junior College ,TALENTSPRINT PVT. LTD,2,2,5,5
1682,Nri Academy,Sheker'S IAS Study Circle,3,1,4,3
1683,SDHR Junior & Degree & Pg College ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,1,1,2,6
1684,Academic Heights Public School - AHPS,KSRM COACHING CENTER,1,1,2,2
1685,Accord School,VIVEK COACHING CENTRE,3,1,5,1
1686,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),4,2,2,2
1687,Academic Heights Public School - AHPS,ACADEMY OF MATHEMATICS AND STATISTICS,3,3,2,4
1688,Accord School,Sheker'S IAS Study Circle,2,3,3,6
1689,Arunodaya High School,RADHAKRISHNA EDUCATIONAL INSTITUTES,4,4,3,2
1690,Ashwamedha Junior College & Neet Medical Academy ,SHINE IAS STUDY CIRCLE,2,4,1,5
1691,Ashwamedha Junior College & Neet Medical Academy ,SRI VISWAM COACHING CENTRE,1,2,2,3
1692,S V Defence Academy,MAHENDRA EDUCATIONAL PVT LTD,2,3,1,6
1693,Sri Chaitanya Junior College ,DAMS SKY,4,1,2,5
1694,Sri Padmavathi Women's Junior College ,EMINENT COACHING CENTRE,2,3,4,6
1695,Arunodaya High School,KARTHIK INSTITUTE OF POLICE COACHING,3,2,1,2
1696,Alpha Gamma Sigma Junior College,SKILL WORLD COMPUTERS,4,1,2,4
1697,Accord School,SAIMEDHA EDUCATIONAL INSTITUTE,3,2,5,4
1698,Nri Academy,VIVEK COACHING CENTRE,3,1,1,3
1699,Sri Chaitanya Junior College ,KARTHIK INSTITUTE OF POLICE COACHING,2,4,4,2
1700,Sri Padmavathi Women's Junior College ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,2,3,3,1
1701,Nri Academy,NIIT,3,3,4,3
1702,Anu Vocational Junior College,SREEDHAR'S CCE,3,1,4,2
1703,Sri Chaitanya Junior College ,BHARATH DEFENCE COACHING CENTRE,2,1,4,5
1704,Nri Academy,VIGNESH COACHING CENTRE,1,3,2,3
1705,Nri Academy,SRI KRISHNAVENI COACHING CENTRE,3,3,1,3
1706,Narayana Junior College,BANKER'S ADDA,1,1,5,3
1707,SDHR Junior & Degree & Pg College ,ACADEMY OF MATHEMATICS AND STATISTICS,4,4,1,3
1708,S V Defence Academy,KARTHIK INSTITUTE OF POLICE COACHING,2,2,2,1
1709,SDHR Junior & Degree & Pg College ,SRI VISWAM COACHING CENTRE,2,2,3,4
1710,S V Defence Academy,VIGNESH COACHING CENTRE,2,3,1,2
1711,Academic Heights Public School - AHPS,NIIT,3,3,5,4
1712,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,NIIT,4,3,2,6
1713,Narayana Junior College,RADHAKRISHNA EDUCATIONAL INSTITUTES,1,3,5,5
1714,Sri Chaitanya Junior College ,JB INSTITUTE FOR COMPETITVE EXAMS,1,4,4,2
1715,Narayana Junior College,DAMS SKY,4,4,3,5
1716,Narayana Junior College,RADHAKRISHNA EDUCATIONAL INSTITUTES,1,3,4,5
1717,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,POORNASAI COACHING,4,4,3,3
1718,Anu Vocational Junior College,BHARATH DEFENCE COACHING CENTRE,4,4,4,1
1719,Anu Vocational Junior College,BHARATH DEFENCE COACHING CENTRE,4,2,4,4
1720,Sri Padmavathi Women's Junior College ,AAKASH INSTITUTE OF MEDICAL IIT - JEE,4,1,2,5
1721,Ashwamedha Junior College & Neet Medical Academy ,EMINENT COACHING CENTRE,3,1,3,1
1722,Academic Heights Public School - AHPS,SKILL WORLD COMPUTERS,1,3,3,3
1723,Ashwamedha Junior College & Neet Medical Academy ,DAMS SKY,3,1,1,1
1724,Sri Chaitanya Junior College ,ANALYST IAS ACADEMY,1,3,4,5
1725,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,VIGNESH COACHING CENTRE,2,4,4,6
1726,Anjali Junior College,IGNITE ACADEMY,3,1,5,3
1727,Nri Academy,TALENTSPRINT PVT. LTD,3,4,4,6
1728,SDHR Junior & Degree & Pg College ,C L CAREER LAUNCHER,3,2,4,4
1729,Sri Chaitanya Junior College ,EMINENT COACHING CENTRE,4,3,2,5
1730,Sri Padmavathi Women's Junior College ,BANKER'S ADDA,3,3,3,4
1731,Anjali Junior College,TALENTSPRINT PVT. LTD,4,1,2,4
1732,Arunodaya High School,SREEDHAR'S CCE,2,2,5,2
1733,SDHR Junior & Degree & Pg College ,Sheker'S IAS Study Circle,2,2,1,3
1734,Sri Padmavathi Women's Junior College ,DR. LAKSHMAIAH IAS STUDY CIRCLE,3,1,3,1
1735,Anjali Junior College,SAIMEDHA GATE COACHING CENTER,1,1,2,3
1736,Arunodaya High School,POORNASAI COACHING,2,3,4,2
1737,Akshra English Medium School,POORNASAI COACHING,4,1,2,4
1738,Academic Heights Public School - AHPS,MAHENDRA EDUCATIONAL PVT LTD,2,3,1,2
1739,S V Defence Academy,TALENTSPRINT PVT. LTD,1,2,4,3
1740,Arunodaya High School,POORNASAI COACHING,4,4,1,3
1741,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,SREEDHAR'S CCE,3,3,5,5
1742,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,CAREER LAUNCHER,4,1,2,1
1743,S V Defence Academy,ANALYST IAS ACADEMY,3,2,2,5
1744,Akshara High School,MAHENDRA EDUCATIONAL PVT LTD,1,2,4,5
1745,Academic Heights Public School - AHPS,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,1,1,1,6
1746,Akshara High School,GURU SAI COACHING CENTER,2,4,1,2
1747,Alpha Gamma Sigma Junior College,POORNASAI COACHING,2,3,1,6
1748,Ashwamedha Junior College & Neet Medical Academy ,SKILL WORLD COMPUTERS,2,3,2,1
1749,SEICOM JUNIOR & DEGREE & PG COLLEGE & CIVILS ACADEMY ,PANDITHA SUDHA COACHING CENTRE,4,3,2,6
1750,SDHR Junior & Degree & Pg College ,DAMS SKY,2,4,4,4
1751,Akshra English Medium School,SAIMEDHA EDUCATIONAL INSTITUTE,1,1,2,6
1752,Alpha Gamma Sigma Junior College,SREEDHAR'S CCE,2,3,4,3
1753,Ashwamedha Junior College & Neet Medical Academy ,SRI VISWAM COACHING CENTRE,4,3,5,2
1754,Accord School,KSRM COACHING CENTER,1,2,5,6
1755,SDHR Junior & Degree & Pg College ,CAREER LAUNCHER,4,4,4,1
1756,Ashwamedha Junior College & Neet Medical Academy ,ELITE POLYTECHNIC & APRJC COACHING CENTRE,2,4,5,2
1757,Arunodaya High School,T.I.M.E. (TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION),3,4,2,6
1758,Akshara High School,C L CAREER LAUNCHER,1,3,2,2
1759,Arunodaya High School,ACADEMY OF MATHEMATICS AND STATISTICS,1,3,4,2
1760,Alpha Gamma Sigma Junior College,RADHAKRISHNA EDUCATIONAL INSTITUTES,2,1,5,1
1761,Alpha Gamma Sigma Junior College,DAMS SKY,2,2,2,1
1762,Alpha Gamma Sigma Junior College,AAKASH INSTITUTE OF MEDICAL IIT - JEE,4,4,4,6
1763,Alpha Gamma Sigma Junior College,SRI KRISHNAVENI COACHING CENTRE,2,4,2,5
1764,Sri Chaitanya Junior College ,SREEDHAR'S CCE,1,3,3,1
1765,Alpha Gamma Sigma Junior College,SHINE IAS STUDY CIRCLE,2,1,5,3
1766,Accord School,GURU SAI COACHING CENTER,4,4,5,6
1767,Anjali Junior College,TALENTSPRINT PVT. LTD,3,4,4,5
1768,Sri Chaitanya Junior College ,SREEDHAR'S CCE,1,2,1,4
1769,Narayana Junior College,SHINE IAS STUDY CIRCLE,1,3,2,3
1770,Narayana Junior College,C L CAREER LAUNCHER,2,4,4,5
1771,Sri Padmavathi Women's Junior College ,ROLLER SPORTS COACHING CENTRE,4,1,5,4
1772,SDHR Junior & Degree & Pg College ,POORNASAI COACHING,3,3,3,5
1773,Anjali Junior College,Sheker'S IAS Study Circle,4,4,2,1
1774,Academic Heights Public School - AHPS,SREEDHAR'S CCE,4,3,4,1
1775,Sri Chaitanya Junior College ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,4,2,3,5
1776,SDHR Junior & Degree & Pg College ,ANALYST IAS ACADEMY,1,1,4,2
1777,SDHR Junior & Degree & Pg College ,JB INSTITUTE FOR COMPETITVE EXAMS,3,3,2,2
1778,Sri Padmavathi Women's Junior College ,GURU SAI COACHING CENTER,2,4,3,2
1779,SDHR Junior & Degree & Pg College ,CONDUIRA EDUCATION & TRAINING SERVICES PVT. LTD.,2,3,2,5
1780,Akshara High School,BANKER'S ADDA,4,1,5,5
1781,SDHR Junior & Degree & Pg College ,JB INSTITUTE FOR COMPETITVE EXAMS,1,4,2,3
1782,Arunodaya High School,SRI VISWAM COACHING CENTRE,2,2,1,1
1783,Akshara High School,VIVEK COACHING CENTRE,2,2,4,2
1784,Ashwamedha Junior College & Neet Medical Academy ,POORNASAI COACHING,2,1,1,5
1785,Sri Chaitanya Junior College ,RADHAKRISHNA EDUCATIONAL INSTITUTES,4,4,1,5
1786,Nri Academy,ANALYST IAS ACADEMY,3,3,1,4
1787,Akshra English Medium School,ELITE POLYTECHNIC & APRJC COACHING CENTRE,1,1,1,4
1788,Alpha Gamma Sigma Junior College,SRI KRISHNAVENI COACHING CENTRE,3,4,2,4
1789,Academic Heights Public School - AHPS,SHINE IAS STUDY CIRCLE,2,4,1,4
1790,Accord School,SRI VISWAM COACHING CENTRE,1,1,4,2
1791,S V Defence Academy,SREEDHAR'S CCE,2,4,3,4
1792,Sri Padmavathi Women's Junior College ,ANALYST IAS ACADEMY,2,1,3,3
1793,Narayana Junior College,VIGNESH COACHING CENTRE,1,1,2,2
1794,Anjali Junior College,SRI VISWAM COACHING CENTRE,1,4,4,3
1795,Narayana Junior College,BHARATH DEFENCE COACHING CENTRE,1,4,2,1
1796,Narayana Junior College,JB INSTITUTE FOR COMPETITVE EXAMS,3,3,5,1
1797,Anu Vocational Junior College,POORNASAI COACHING,4,1,3,2
1798,Akshra English Medium School,ANALYST IAS ACADEMY,4,4,2,1
